"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"251","Marcus Foligno","MIN","L","92","4.0666666666667","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","14","4","2","2","0","0","0","0","0","0","0","0","0","-"
"254","Chris Wideman","EDM, FLA, OTT","D","25","50.716666666667","0","1","0","1","1","16.67","3","0.00","0.19","10","5","0","0","0","0","2","1","1","0","0","1","1","0","1","1","1","0","0","-"
"269","Nick Jensen","DET, WSH","D","93","4.9666666666667","0","1","1","0","1","100.00","0","-","0","1","0","0","0","0","0","5","1","0","1","0","1","0","0","0","0","0","0","0","-"
"282","Oscar Lindberg","OTT, VGK","C, L","55","23.166666666667","0","1","0","1","1","33.33","1","0.00","0.14","3","1","3","1","0","1","4","2","2","0","0","0","0","0","1","1","1","1","1","50.00"
"287","Ryan Spooner","EDM, NYR, VAN","C","52","57.233333333333","0","1","0","1","1","25.00","11","0.00","1.16","19","13","11","4","0","1","0","0","0","0","0","0","0","0","0","0","0","6","7","46.15"
"295","Tyler Pitlick","DAL, PHI","C","53","32.333333333333","1","0","0","0","1","33.33","3","33.33","0.61","7","5","7","2","0","1","2","1","1","0","0","0","0","0","2","4","0","1","0","100.00"
"305","Austin Watson","NSH","L","47","3.9666666666667","1","0","0","0","1","100.00","1","100.00","0.35","2","1","2","1","0","0","20","4","0","4","0","0","0","0","0","0","0","1","2","33.33"
"332","Zach Trotman","PIT","D","13","15.933333333333","0","1","1","0","1","100.00","4","0.00","0.16","5","4","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","-"
"367","Alan Quine","CGY","C","14","2.9833333333333","1","0","0","0","1","100.00","1","100.00","0.06","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"370","Mike Reilly","MTL","D","59","79.65","1","0","0","0","1","33.33","7","14.29","0.7","27","15","5","0","0","0","2","1","1","0","0","3","1","1","0","1","0","0","0","-"
"371","Ty Rattie","EDM","R","50","43.566666666667","0","1","1","0","1","20.00","10","0.00","1.4","12","11","11","9","0","0","0","0","0","0","0","0","1","1","2","3","0","0","0","-"
