Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2021-02-04,6:00 PM,7:00 PM,Washington Capitals,2,New York Rangers,4,Regulation
2021-02-04,6:00 PM,7:00 PM,Nashville Predators,6,Florida Panthers,5,OT
2021-02-04,6:00 PM,7:00 PM,Dallas Stars,3,Columbus Blue Jackets,4,Regulation
2021-02-04,6:00 PM,7:00 PM,Ottawa Senators,3,Montreal Canadiens,2,Regulation
2021-02-04,6:00 PM,7:00 PM,Vancouver Canucks,3,Toronto Maple Leafs,7,Regulation
2021-02-04,7:00 PM,8:00 PM,Carolina Hurricanes,4,Chicago Blackhawks,6,Regulation
2021-02-04,7:00 PM,8:00 PM,Arizona Coyotes,4,St. Louis Blues,3,Regulation
2021-02-04,7:00 PM,8:00 PM,Calgary Flames,1,Winnipeg Jets,4,Regulation
2021-02-05,6:00 PM,7:00 PM,Boston Bruins,2,Philadelphia Flyers,1,Regulation
2021-02-05,6:00 PM,7:00 PM,Detroit Red Wings,1,Tampa Bay Lightning,3,Regulation
2021-02-05,6:00 PM,7:00 PM,Nashville Predators,1,Florida Panthers,2,Regulation
2021-02-05,9:00 PM,10:00 PM,Los Angeles Kings,2,Vegas Golden Knights,5,Regulation
2021-02-05,9:00 PM,10:00 PM,San Jose Sharks,5,Anaheim Ducks,4,SO
2021-02-06,12:00 PM,1:00 PM,Montreal Canadiens,2,Ottawa Senators,1,Regulation
2021-02-06,2:00 PM,3:00 PM,Arizona Coyotes,3,St. Louis Blues,1,Regulation
2021-02-06,6:00 PM,7:00 PM,Pittsburgh Penguins,3,New York Islanders,4,Regulation
2021-02-06,6:00 PM,7:00 PM,Vancouver Canucks,1,Toronto Maple Leafs,5,Regulation
2021-02-06,9:00 PM,10:00 PM,Edmonton Oilers,4,Calgary Flames,6,Regulation
2021-02-06,9:00 PM,10:00 PM,San Jose Sharks,1,Anaheim Ducks,2,SO
2021-02-07,11:00 AM,12:00 PM,Philadelphia Flyers,7,Washington Capitals,4,Regulation
2021-02-07,2:00 PM,3:00 PM,Detroit Red Wings,4,Florida Panthers,1,Regulation
2021-02-07,2:00 PM,3:00 PM,Carolina Hurricanes,6,Columbus Blue Jackets,5,Regulation
2021-02-07,2:00 PM,3:00 PM,Chicago Blackhawks,2,Dallas Stars,1,OT
2021-02-07,2:00 PM,3:00 PM,Los Angeles Kings,3,Vegas Golden Knights,4,Regulation
2021-02-08,6:00 PM,7:00 PM,New York Islanders,2,New York Rangers,0,Regulation
2021-02-08,6:00 PM,7:00 PM,Carolina Hurricanes,2,Columbus Blue Jackets,3,Regulation
2021-02-08,6:00 PM,7:00 PM,Edmonton Oilers,3,Ottawa Senators,1,Regulation
2021-02-08,6:00 PM,7:00 PM,Vancouver Canucks,1,Toronto Maple Leafs,3,Regulation
2021-02-08,7:00 PM,8:00 PM,Tampa Bay Lightning,4,Nashville Predators,1,Regulation
2021-02-08,7:00 PM,8:00 PM,Arizona Coyotes,4,St. Louis Blues,3,SO
2021-02-09,6:00 PM,7:00 PM,Detroit Red Wings,1,Florida Panthers,2,Regulation
2021-02-09,6:00 PM,7:00 PM,Edmonton Oilers,3,Ottawa Senators,2,Regulation
2021-02-09,7:30 PM,8:30 PM,Tampa Bay Lightning,6,Nashville Predators,1,Regulation
2021-02-09,7:30 PM,8:30 PM,Chicago Blackhawks,2,Dallas Stars,1,OT
2021-02-09,9:00 PM,10:00 PM,Winnipeg Jets,2,Calgary Flames,3,Regulation
