id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
264,Stefan Noesen,CAR,R,2,2.3666666666667,0,0,0,0,0,0.00,0,-,0.12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-
265,Phillip Danault,L.A,C,79,151.58333333333,2,2,1,1,4,33.33,23,8.70,4.28,35,32,30,23,0,3,4,2,2,0,0,1,5,0,1,10,0,62,43,59.05
266,Vladislav Namestnikov,"DAL, DET",C,75,31.85,0,1,1,0,1,25.00,1,0.00,0.54,7,6,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100.00
267,Rickard Rakell,"ANA, PIT","L, R",70,155.51666666667,5,5,3,2,10,52.63,30,16.67,3.76,51,40,26,9,0,3,2,1,1,0,0,0,4,1,1,8,0,2,2,50.00
268,Turner Elson,DET,C,2,0.1,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
269,Colin Miller,BUF,D,38,53.516666666667,0,3,2,1,3,37.50,10,0.00,0.55,20,16,1,0,0,2,2,1,1,0,0,0,0,0,2,1,1,0,0,-
270,Jonathan Marchessault,VGK,C,76,155.15,5,14,7,7,19,95.00,39,12.82,4.82,55,52,33,14,0,4,2,1,1,0,0,0,11,0,1,3,1,2,5,28.57
271,Barclay Goodrow,NYR,C,79,46.066666666667,0,0,0,0,0,0.00,7,0.00,1.4,10,9,9,7,0,1,0,0,0,0,0,0,1,0,0,2,0,26,17,60.47
272,Brad Hunt,VAN,D,50,53.916666666667,0,2,2,0,2,50.00,7,0.00,0.54,12,9,4,0,0,1,0,0,0,0,0,0,0,1,0,3,2,0,0,-
273,Torey Krug,STL,D,64,173.28333333333,3,14,3,11,17,50.00,29,10.34,2,47,36,14,1,0,2,2,1,1,0,0,0,4,0,1,1,6,0,0,-
274,Matt Tennyson,NSH,D,8,0.11666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
275,Luke Glendening,DAL,C,82,4.2166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,62.50
276,Yanni Gourde,SEA,C,74,133.3,2,3,0,3,5,55.56,18,11.11,1.55,42,25,15,3,1,2,2,1,1,0,0,1,2,4,1,6,1,29,27,51.79
277,Ryan Murray,COL,D,37,2.15,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
278,Alex Galchenyuk,ARI,C,60,49.816666666667,0,1,0,1,1,50.00,9,0.00,0.53,12,10,5,0,0,1,4,2,2,0,0,0,2,0,0,2,0,9,6,60.00
279,Morgan Rielly,TOR,D,82,225.11666666667,2,19,7,12,21,47.73,29,6.90,1.77,52,37,12,1,0,6,6,3,3,0,0,1,4,0,4,1,3,0,0,-
280,Hampus Lindholm,"ANA, BOS",D,71,66.516666666667,1,4,1,3,5,83.33,12,8.33,0.77,26,18,6,0,0,1,2,1,1,0,0,0,2,0,1,0,1,0,0,-
281,Matt Dumba,MIN,D,57,96.033333333333,1,4,3,1,5,62.50,18,5.56,2.21,44,27,12,4,0,6,0,0,0,0,0,2,1,0,4,6,2,0,0,-
282,Brendan Gaunce,CBJ,C,30,0.11666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
283,Brady Skjei,CAR,D,82,10.583333333333,0,0,0,0,0,-,2,0.00,0.08,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-
284,Tanner Pearson,VAN,L,68,106.16666666667,1,2,2,0,3,30.00,15,6.67,2.87,22,19,20,12,0,4,0,0,0,0,0,2,0,0,2,9,2,8,17,32.00
