id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
70,Logan Couture,S.J,C,77,142.06666666667,2,1,1,0,3,100.00,22,9.09,1.44,24,22,13,7,6,0,4,2,2,0,0,4,1,8,4,2,10,79,102,43.65
71,P.K. Subban,N.J,D,77,66.466666666667,0,1,0,1,1,50.00,1,0.00,0.06,3,2,0,0,0,0,0,0,0,0,0,0,4,1,1,1,5,0,0,-
72,Riley Nash,"ARI, T.B, WPG",C,49,69.766666666667,0,0,0,0,0,0.00,2,0.00,0.25,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,4,39,45,46.43
73,Thomas Hickey,NYI,D,2,6,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
74,Brad Malone,EDM,C,8,10.5,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25.00
75,Brendan Smith,CAR,D,45,48.666666666667,0,0,0,0,0,0.00,1,0.00,0,2,1,1,0,0,0,2,1,1,0,0,0,1,1,4,1,5,0,0,-
76,Colton Sceviour,EDM,C,35,54.366666666667,0,1,1,0,1,100.00,6,0.00,0.63,8,7,4,1,0,0,0,0,0,0,0,1,0,0,1,0,4,6,4,60.00
77,David Perron,STL,L,67,0.78333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
78,Patrick Kane,CHI,R,78,1.9166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
79,Robert Bortuzzo,STL,D,73,147.11666666667,0,0,0,0,0,0.00,1,0.00,0,1,1,0,0,1,0,2,1,1,0,0,2,6,1,9,2,21,0,0,-
80,Evgenii Dadonov,VGK,R,78,0.45,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
81,Mikael Backlund,CGY,C,82,156.95,0,0,0,0,0,-,24,0.00,2.47,35,30,23,10,5,2,0,0,0,0,0,1,2,10,1,1,4,57,78,42.22
82,Ryan McDonagh,T.B,D,71,215.36666666667,0,0,0,0,0,0.00,2,0.00,0,2,2,0,0,1,0,2,1,1,0,0,1,0,5,11,0,27,0,0,-
83,Max Pacioretty,VGK,L,39,0.38333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
84,Jakub Voracek,CBJ,R,79,1.2166666666667,0,0,0,0,0,-,1,0.00,0.09,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
85,Jake Muzzin,TOR,D,47,116.36666666667,0,0,0,0,0,0.00,4,0.00,0.16,5,5,3,1,1,0,0,0,0,0,0,0,7,3,4,3,10,0,0,-
86,Alec Martinez,VGK,D,26,30,0,0,0,0,0,-,2,0.00,0,2,2,0,0,1,0,0,0,0,0,0,0,1,1,1,1,4,0,0,-
87,Carl Hagelin,WSH,L,53,99.083333333333,0,1,1,0,1,50.00,5,0.00,0.33,8,6,3,1,1,0,2,1,1,0,0,1,1,5,2,1,2,1,2,33.33
88,Lars Eller,WSH,C,72,113,0,0,0,0,0,0.00,8,0.00,1.48,14,12,11,7,4,2,0,0,0,0,0,2,2,7,3,2,5,62,77,44.60
89,Wayne Simmonds,TOR,R,72,0.6,0,0,0,0,0,-,1,0.00,0.09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
90,Nick Holden,OTT,D,76,231.23333333333,0,0,0,0,0,0.00,5,0.00,0.02,7,6,0,0,1,0,0,0,0,0,0,1,6,3,10,4,21,0,0,-
91,Jay Beagle,ARI,C,33,66.033333333333,0,0,0,0,0,-,3,0.00,0.17,3,3,2,1,1,0,0,0,0,0,0,0,1,2,0,1,3,45,41,52.33
92,Drew Doughty,L.A,D,39,76.6,0,0,0,0,0,0.00,4,0.00,0,4,4,0,0,1,0,0,0,0,0,0,0,2,0,2,1,14,0,0,-
93,Steven Stamkos,T.B,C,81,32.75,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,4,2,2,0,0,0,0,1,0,0,2,48,40,54.55
94,Alex Pietrangelo,VGK,D,80,190.88333333333,1,2,0,2,3,75.00,11,9.09,0.32,13,12,4,0,0,0,4,2,2,0,0,0,5,10,4,2,27,0,0,-
95,Zach Bogosian,T.B,D,48,17.866666666667,0,0,0,0,0,-,1,0.00,0,2,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,-
96,Luke Schenn,VAN,D,66,116.76666666667,0,0,0,0,0,0.00,1,0.00,0,2,2,0,0,0,0,0,0,0,0,0,0,3,2,16,3,21,0,0,-
97,Josh Bailey,NYI,R,74,78.383333333333,0,0,0,0,0,0.00,3,0.00,0.28,4,4,2,2,0,0,0,0,0,0,0,0,0,5,0,1,2,3,1,75.00
98,Tyler Myers,VAN,D,82,191.48333333333,0,0,0,0,0,0.00,1,0.00,0.14,3,1,1,0,0,0,0,0,0,0,0,0,6,5,18,2,24,0,0,-
99,Erik Karlsson,S.J,D,50,72.05,0,0,0,0,0,-,1,0.00,0.03,2,2,0,0,0,0,0,0,0,0,0,1,3,3,1,0,2,0,0,-
100,Michael Del Zotto,OTT,D,26,10.9,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,-
101,Jordan Eberle,SEA,R,79,0.66666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,-
102,Tyler Ennis,OTT,R,57,0.83333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
103,John Carlson,WSH,D,78,126.81666666667,0,3,1,2,3,75.00,1,0.00,0.13,4,4,1,0,0,0,2,1,1,0,0,0,4,5,4,0,9,0,0,-
104,Roman Josi,NSH,D,80,55.8,0,0,0,0,0,-,4,0.00,0.22,5,5,1,1,0,0,2,1,1,0,0,0,1,1,1,0,8,0,0,-
105,Justin Schultz,WSH,D,74,3.2166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
106,Travis Hamonic,"OTT, VAN",D,43,80.216666666667,0,0,0,0,0,0.00,4,0.00,0.12,6,5,2,0,0,0,0,0,0,0,0,1,2,1,2,1,12,0,0,-
107,Derek Stepan,CAR,C,58,57.716666666667,0,0,0,0,0,-,6,0.00,0.36,7,6,4,3,1,0,0,0,0,0,0,0,2,5,1,0,0,41,22,65.08
108,Marco Scandella,STL,D,70,146.7,0,2,1,1,2,100.00,5,0.00,0.03,7,6,1,0,2,0,0,0,0,0,0,1,3,1,9,2,19,0,0,-
109,Michael Stone,CGY,D,11,9.15,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-
110,Adam Henrique,ANA,C,58,5.9333333333333,0,0,0,0,0,-,1,0.00,0.09,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,44.44
111,TJ Brodie,TOR,D,82,181.1,0,2,0,2,2,28.57,2,0.00,0.01,3,3,0,0,0,0,6,3,3,0,0,1,6,3,7,4,9,0,0,-
112,Gustav Nyquist,CBJ,C,82,141.63333333333,4,0,0,0,4,80.00,16,25.00,1.64,22,21,15,5,3,0,2,1,1,0,0,4,0,7,5,2,8,3,2,60.00
113,Derek Grant,ANA,C,71,164.46666666667,1,1,1,0,2,100.00,12,8.33,1.01,16,14,7,6,1,0,0,0,0,0,0,1,2,8,2,2,7,77,91,45.83
