id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
609,Derek Ryan,CGY,C,43,409.35,2,11,8,3,13,72.22,29,6.90,3.95,56,49,45,27,1,1,10,5,5,0,0,8,14,16,12,34,17,127,111,53.36
610,Kevin Stenlund,CBJ,C,32,362.65,5,4,4,0,9,52.94,38,13.16,3.67,70,52,34,17,0,11,8,4,4,0,0,5,7,6,16,41,13,98,110,47.12
611,William Borgen,BUF,D,10,143.98333333333,0,0,0,0,0,0.00,7,0.00,0.22,11,10,1,0,0,1,4,2,2,0,0,0,1,0,25,11,8,0,0,-
612,Colton White,N.J,D,2,28.05,0,0,0,0,0,-,3,0.00,0.08,4,3,2,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,-
613,Christian Wolanin,"L.A, OTT",D,18,209.5,0,3,2,1,3,30.00,14,0.00,0.64,28,19,7,3,1,2,8,4,4,0,0,1,12,1,3,12,7,0,0,-
614,Alexandre Carrier,NSH,D,19,325.03333333333,1,1,1,0,2,20.00,28,3.57,1.98,64,45,18,5,1,5,4,2,2,0,0,3,9,10,22,32,21,0,0,-
615,Conor Garland,ARI,R,49,682.45,9,18,14,4,27,79.41,96,9.38,8.09,167,130,84,33,6,10,16,8,8,0,0,20,16,32,23,72,17,6,10,37.50
616,Dmytro Timashov,NYI,L,1,7.1666666666667,0,0,0,0,0,-,1,0.00,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-
617,Niko Mikkola,STL,D,30,370.9,1,2,1,1,3,30.00,20,5.00,0.82,44,31,8,3,1,3,7,2,1,1,0,4,17,2,47,65,29,0,0,-
618,Kirill Kaprizov,MIN,L,55,766.36666666667,16,18,13,5,34,89.47,99,16.16,8.98,185,150,96,42,4,11,10,5,5,0,0,19,31,24,28,55,18,2,14,12.50
619,Dominik Simon,CGY,C,11,100.85,0,0,0,0,0,0.00,3,0.00,0.27,10,4,5,2,0,1,0,0,0,0,0,3,3,0,11,6,4,3,7,30.00
