"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"663","Devon Toews","NYI","D","48","741.83333333333","3","10","6","4","13","46.43","68","4.41","3.17","135","91","33","9","2","8","2","1","1","0","0","3","23","12","24","31","29","0","1","0.00"
"681","Andrew Mangiapane","CGY","L","44","434.68333333333","8","5","3","2","13","59.09","61","13.11","5.67","92","73","65","32","4","7","6","3","3","0","0","3","11","16","42","60","17","6","3","66.67"
"714","Roope Hintz","DAL","L","58","659.75","5","8","5","3","13","68.42","71","7.04","6.59","124","94","86","43","5","4","14","7","7","0","0","10","19","29","84","64","32","173","146","54.23"
"890","Par Lindholm","TOR, WPG","C","65","624.03333333333","1","12","7","5","13","54.17","57","1.75","5.66","126","98","58","28","1","7","16","8","8","0","0","4","12","22","53","101","35","137","134","50.55"
"47","David Backes","BOS","R","70","765.21666666667","5","7","3","4","12","57.14","116","4.31","7.4","174","145","75","33","9","11","21","6","3","3","0","10","21","32","131","74","29","127","101","55.70"
"70","Alexander Edler","VAN","D","56","984.18333333333","4","8","4","4","12","34.29","84","4.76","2.55","174","121","35","2","1","7","42","21","21","0","0","6","23","7","113","83","117","0","0","-"
"102","Dan Girardi","T.B","D","62","940.9","3","9","1","8","12","25.53","72","4.17","3.41","127","92","35","9","3","10","10","5","5","0","0","1","22","5","141","79","83","0","0","-"
"111","Trevor Lewis","L.A","C","44","537.08333333333","3","9","6","3","12","66.67","80","3.75","5.93","125","102","62","25","5","7","9","3","2","1","0","6","12","10","50","47","18","51","60","45.95"
"143","Ian Cole","COL","D","71","1132.3","1","11","2","9","12","31.58","73","1.37","2.9","165","109","32","6","1","8","65","24","20","3","1","4","37","22","99","116","113","0","0","-"
"206","Marco Scandella","BUF","D","63","950.95","6","6","1","5","12","36.36","73","8.22","2.51","142","97","27","4","3","5","24","12","12","0","0","3","31","14","46","52","60","0","0","-"
"258","Brandon Pirri","VGK","C","31","376.66666666667","9","3","3","0","12","57.14","63","14.29","5.88","106","85","68","28","3","5","6","3","3","0","0","6","9","12","28","28","13","13","11","54.17"
"305","Jordan Weal","ARI, MTL, PHI","C","63","763.26666666667","4","8","5","3","12","52.17","64","6.25","5.28","108","88","66","34","0","8","10","5","5","0","0","3","15","20","28","73","26","303","244","55.39"
"318","Cam Fowler","ANA","D","59","1093.4166666667","2","10","5","5","12","33.33","58","3.45","2.59","141","80","42","8","6","8","10","5","5","0","0","4","33","20","28","61","77","0","0","-"
"320","Austin Watson","NSH","L","37","452.28333333333","4","8","5","3","12","60.00","59","6.78","4.75","103","90","51","27","1","3","17","7","6","1","0","7","10","10","104","31","21","3","4","42.86"
"387","Jean-Gabriel Pageau","OTT","C","39","557.7","4","8","5","3","12","85.71","67","5.97","5.69","100","84","57","35","6","9","4","2","2","0","0","4","20","17","58","47","25","206","165","55.53"
"419","Jamie Oleksiak","DAL, PIT","D","57","807.11666666667","4","8","3","5","12","33.33","54","7.41","2.33","115","80","18","5","1","5","40","17","15","2","0","7","37","9","130","88","56","0","0","-"
"423","Oscar Klefbom","EDM","D","61","1132.0333333333","1","11","3","8","12","40.00","133","0.75","5.15","253","178","52","12","2","9","12","6","6","0","0","2","37","20","35","108","77","0","0","-"
"487","Jake McCabe","BUF","D","59","964.66666666667","3","9","3","6","12","36.36","61","4.92","2.63","133","91","36","7","5","4","26","13","13","0","0","6","23","18","90","110","74","0","0","-"
"527","Tyler Motte","VAN","C","74","801.05","6","6","3","3","12","57.14","100","6.00","8.84","177","139","98","44","6","19","8","4","4","0","0","12","12","27","196","74","41","11","26","29.73"
"604","Jordan Oesterle","ARI","D","71","1096.2166666667","3","9","4","5","12","30.00","59","5.08","2.58","161","99","28","2","2","11","6","3","3","0","0","4","48","20","46","135","119","0","0","-"
"754","Conor Garland","ARI","R","47","473.23333333333","9","3","0","3","12","75.00","91","9.89","5.66","139","118","67","25","5","6","10","5","5","0","0","4","8","21","29","65","17","9","5","64.29"
