id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
574,Joonas Donskoi,S.J,R,76,933.4,8,19,12,7,27,67.50,91,8.79,11.07,161,126,133,68,3,11,14,7,7,0,0,12,34,29,28,142,42,1,1,50.00
575,John Ramage,CBJ,D,1,13.8,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,-
576,Tom Kuhnhackl,PIT,R,42,465.55,3,9,6,3,12,70.59,47,6.38,4.82,73,63,44,23,3,2,4,1,1,0,0,9,6,4,56,43,31,0,1,0.00
577,Alex Friesen,VAN,C,1,11.716666666667,0,0,0,0,0,-,1,0.00,0.06,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0.00
578,Sam Carrick,TOR,C,3,29.633333333333,0,0,0,0,0,-,3,0.00,0.19,3,3,3,1,0,0,4,2,2,0,0,0,0,0,4,7,0,0,0,-
579,Kenny Agostino,CGY,L,2,23.916666666667,0,0,0,0,0,-,3,0.00,0.18,3,3,2,1,0,0,0,0,0,0,0,0,5,2,3,3,0,0,0,-
580,Brendan Gallagher,MTL,R,53,686.76666666667,10,14,7,7,24,64.86,128,7.81,12.01,214,160,121,72,8,16,10,4,4,0,0,16,12,28,40,98,22,5,12,29.41
581,Jesper Fast,NYR,R,79,960.38333333333,7,17,7,10,24,64.86,67,10.45,7.14,126,99,86,45,4,1,18,9,9,0,0,11,16,27,100,108,34,0,2,0.00
582,Kevin Gravel,L.A,D,5,52.25,0,0,0,0,0,0.00,1,0.00,0.1,9,6,1,0,0,0,0,0,0,0,0,0,2,0,4,14,4,0,0,-
583,Anthony Bitetto,NSH,D,28,333.16666666667,1,5,1,4,6,54.55,19,5.26,0.88,41,30,5,3,0,2,15,6,5,1,0,4,8,2,61,21,41,0,0,-
584,Brandon Davidson,EDM,D,51,792.86666666667,2,6,2,4,8,29.63,53,3.77,2.31,141,89,25,4,3,11,14,7,7,0,0,2,35,15,67,118,65,0,0,-
585,Freddie Hamilton,CGY,C,4,46.9,0,1,1,0,1,100.00,6,0.00,0.48,9,6,5,2,1,1,0,0,0,0,0,0,2,1,8,4,2,12,8,60.00
